"item","categoria","parroquia","proyecto","monto","tramite","responsables","estado_original","estado_dashboard","fecha_entrega","cronograma_contractual","Avance","Coordenadas X","Coordenadas Y"
"13","PAC","LICTO","EJECUCIÓN DE ADOQUINADO DE VARIAS VÍAS DE LA CABECERA PARROQUIAL DE LICTO","77719.100000000006","Sumilla Interna mediante MEMORANDO Nro. GADMR-DGPHDU-JDOP-2026-012A-MP","ING. ROSA GRANDA
ING. NATALY SALAZAR
ING. JOFFRE NIAMA
ING. GERMANIA FLORES","ELABORACIÓN DE PLANOS Y PRESUPUESTO REFERENCIAL /SOCIALIZACIÓN","En desarrollo","28 DE AGOSTO DEL 2026","","0.75","766543.06400000001","9800032.9519999996"
"14","PAC","LICAN","READECUACIÓN DEL CEMENTERIO DE LA CABECERA PARROQUIAL DE LICAN","31000","1169501","","ENTREGADO A LA DIRECCIÓN GENERAL DE GESTIÓN DE OBRAS PÚBLICAS","Entregado para Contratación","","60 DÍAS","1","755194.66","9817152.8100000005"
"15","PAC","CUBIJIES","MANTENIMIENTO Y REHABILITACIÓN VIAL DE LAS COMUNIDADES DE LA PARROQUIA CUBIJIES","209954","Sumilla Interna mediante MEMORANDO Nro. GADMR-DGPHDU-JDOP-2026-035-MP","ING. CRISTOPHER PADILLA
ING. ERIKA CALDERON
ING. JOFFRE NIAMA
ING. GERMANIA F...","SOLICITUD DE DELEGACIÓN DE COMPETENCIAS","Remitido a otra dirección","28 DE AGOSTO DEL 2026 TODO DEPENDE DE LA ENTREGA DE LA DELEGACION DE COMPETEN...","","0.9","767031.304","9816230.6899999995"
"16","PAC","CUBIJIES","READECUACIÓN DEL COLISEO DE LA PARROQUIA CUBIJIES","65000","1159960","","ENTREGADO A LA DIRECCIÓN GENERAL DE GESTIÓN DE OBRAS PÚBLICAS","Entregado para Contratación","","90 DÍAS","1","768443.4","9817959.0199999996"
"17","PAC","CACHA","EJECUCIÓN DE LA CONSTRUCCIÓN DE LA CUBIERTA METÁLICA DE LA CANCHA COMUNIDAD S...","80000","1213868","","ENTREGADO A LA DIRECCIÓN GENERAL DE GESTIÓN DE OBRAS PÚBLICAS","Entregado para Contratación","","90 DÍAS","1","757107.18","9811485.2100000009"
"18","PAC","CACHA","EJECUCIÓN DE CENTRO TURISTICO DE SAN MIGUEL DE QUERA FASE I PARROQUIA CACHA","79901.45","Sumilla Interna mediante MEMORANDO Nro. GADMR-DGPHDU-JDOP-2026-026-MP","ARQ. CRISTIAN BUÑAY
ING. NATALY SALAZAR
ING. NELSON RODRIGUEZ
ING. GABRIELA C...","ELABORACIÓN DE PLANOS ARQUITECTONICOS","En desarrollo","31 DE AGOSTO DEL  2026","","0.3","753294.76","9809679.2379999999"
"19","PAC","CACHA","ASFALTADO DE VIAS PARA LAS COMUNIDADES CACHA, PUCARAQUINCHE - CACHA HUAGSHI","631706.67000000004","1185599","","ENTREGADO A LA DIRECCIÓN GENERAL DE GESTIÓN DE OBRAS PÚBLICAS","Entregado para Contratación","","120 DÍAS","1","PUCARAQUINCHE
755454.687
HUAGSHI
9809853.7072","PUCARAQUINCHE
9809919.762
HUAGSHI
755663.7815"
"20","PAC","PUNIN","EJECUCIÓN DE LA CONSTRUCCIÓN DE CUBIERTAS PARA LA CANCHA DE USO MULTIPLE DE L...","102999.7","Sumilla Interna mediante MEMORANDO Nro. GADMR-DGPHDU-JDOP-2026-025-MP","ING. FABIAN LLAMUCA
ARQ. FERNANDO PONCE
ING. DENNIS SALAZAR
ING. SANDRA BERRO...","PROYECTO INTEGRAL","En desarrollo","28 DE AGOSTO  DEL 2026","","0.75","SAN VICENTE
757584.15

CACHIGUAYCO
761422.43","SAN VICENTE
9804141.06

CACHIGUAYCO
9802101.68"
"21","PAC","PUNIN","CONSTRUCCIÓN DE BATERIAS SANITARIAS Y VESTIDORES DE LA COMUNIDAD DE SAN JUAN ...","72000","Sumilla Interna mediante MEMORANDO Nro. GADMR-DGPHDU-JDOP-2026-017-MP","ARQ. FERNANDO PONCE
ING. DENNIS SALAZAR
ING. ERIKA CALDERON
ING. DANIEL OROZC...","ENTREGADO A LA DIRECCIÓN GENERAL DE GESTIÓN DE OBRAS PÚBLICAS ","Entregado para Contratación","","90 DÍAS","1","756454.27489999996","9806537.3486000001"
"22","PAC","PUNIN","MEJORAMIENTO DE ESPACIOS RECREATIVOS DE COMUNIDADES DE LA PARROQUIA PUNIN","28823.7","","ARQ. LUIS TELLO","ENTREGADO A LA DIRECCIÓN GENERAL DE GESTIÓN DE OBRAS PÚBLICAS ","Entregado para Contratación","","60 DÍAS","1","EL CHUIPE
 760589.997
SIGUILÁN
 758947.692","EL CHUIPE
9804286.027
SIGUILÁN
 9807986.714"
